Name,Rating,Number of Reviews,Number of Answered Question,Listing Price,Current Price,ASIN,Product Rank,Date first Available
"        HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode With Office 365 Personal For 1 Year (14-cb185nr, Royal Blue)       ",4.5 out of 5 stars,"5,640 ratings", 362 answered questions ,$259.99,$205.00, B084SKWC89 ,#171 in Computers & Accessories (," March 1, 2020 "
"        HP Stream 14inch HD(1366x768) Display, Intel Celeron N4000 Dual-Core Processor, 4GB RAM, 32GB eMMC, HDMI, WiFi, Webcam, Bluetooth, Win10 S, Rose Pink (Renewed)       ",4.3 out of 5 stars,"2,873 ratings", 159 answered questions ,$209.00,"
                                           ", B07WZHW2J3 ,"#1,099 in Computers & Accessories ("," August 26, 2019 "
"        HP 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage, 14-inch HD Touchscreen, Windows 10 Home in S Mode, Long Battery Life, Microsoft 365, (14-fq0040nr, 2020)       ",4.5 out of 5 stars,534 ratings, 40 answered questions ,,, B08CM17RPZ ,#383 in Computers & Accessories (," August 9, 2020 "
"        Acer Nitro 5 AN515-55-53E5 Gaming Laptop | Intel Core i5-10300H | NVIDIA GeForce RTX 3050 Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 256GB NVMe SSD | Intel Wi-Fi 6 | Backlit Keyboard       ",4.6 out of 5 stars,"7,447 ratings", 886 answered questions ,$839.99,$659.99, B092YHJGMN ,#10 in Computers & Accessories (," June 1, 2021 "
"        HP 14 Laptop, AMD Ryzen 5 5500U, 8 GB RAM, 256 GB SSD Storage, 14-inch Full HD Display, Windows 11 Home, Thin & Portable, Micro-Edge & Anti-Glare Screen, Long Battery Life (14-fq1025nr, 2021)       ",4.6 out of 5 stars,316 ratings, 52 answered questions ,$569.99,$479.99, B09G8SK2KK ,#263 in Computers & Accessories (," October 24, 2021 "
"        ASUS ROG Strix G15 (2021) Gaming Laptop, 15.6” 144Hz IPS Type FHD Display, NVIDIA GeForce RTX 3050, AMD Ryzen 7 4800H, 8GB DDR4, 512GB PCIe NVMe SSD, RGB Keyboard, Windows 10, G513IC-EB73       ",4.6 out of 5 stars,123 ratings, 46 answered questions ,$999.99,"
                                           ", B09DDJ84WK ,"#2,752 in Computers & Accessories ("," August 23, 2021 "
"        ASUS VivoBook 17 K712EA Thin and Light Laptop, 17.3” FHD Display, Intel Core i7-1165G7, 16GB DDR4 RAM, 1TB PCIe SSD, Windows 10 Home, Fingerprint, Transparent Silver, K712EA-DS76       ",4.7 out of 5 stars,64 ratings, 34 answered questions ,$975.00,"
                                           ", B094K27CSY ,"#2,094 in Computers & Accessories ("," May 10, 2021 "
"        2022 Samsung 14” FHD(1920 x 1080) Laptop, Windows 11 OS, Qualcomm Octa Core Snapdragon Processor 2.55GHz, 4GB LPDDR4x, 64GB SSD (Renewed)       ",4.3 out of 5 stars,9 ratings, 4 answered questions ,$229.99,"
                                           ", B09V6S3FVX ,#995 in Computers & Accessories (," March 9, 2022 "
"        SAMSUNG 15.6” Galaxy Book2 Pro Laptop Computer, i7 / 16GB / 512GB, 12th Gen Intel Core Processor, Evo Certified, Lightweight, 2022 Model, Graphite       ",5.0 out of 5 stars,2 ratings, 8 answered questions ,"$1,349.99","
                                           ", B09R94XYBS ,"#2,337 in Computers & Accessories ("," April 1, 2022 "
"        ASUS ZenBook Flip 13 OLED Ultra Slim Convertible Laptop, 13.3” Touch, Intel Evo Platform Core i5-1135G7 Processor, 8GB RAM, 512GB SSD, Windows 10 Home, AI Noise-Cancellation, Pine Grey, UX363EA-DB51T       ",4.1 out of 5 stars,14 ratings, 14 answered questions ,$949.99,$792.99, B09F34JS7S ,"#4,149 in Computers & Accessories ("," August 31, 2021 "
"        ASUS Laptop L510 Ultra Thin Laptop, 15.6” FHD Display, Intel Pentium Silver N5030 Processor, 4GB RAM, 128GB Storage, Windows 11 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-DH21       ",4.3 out of 5 stars,"6,461 ratings", 490 answered questions ,$299.99,$249.00, B09QM394Y8 ,#289 in Computers & Accessories (," January 18, 2022 "
"        HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 10 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, 2021, Snowflake White)       ",4.7 out of 5 stars,70 ratings, 12 answered questions ,,, B0947BJ67M ,#224 in Computers & Accessories (," May 30, 2021 "
"        2022 Newest HP 15.6"" HD Laptop Computer, 11th Gen Intel Quad-Core i3-1125G4(Up to 3.7GHz, Beat i5-10210U),128GB SSD, 8GB RAM, Webcam, Bluetooth, USB-C, Wi-Fi, HDMI, Windows 11S, Silver+JVQ Mousepad       ",4.5 out of 5 stars,70 ratings, 22 answered questions ,$399.00,"
                                           ", B09WP1ZY2C ,"#9,055 in Electronics ("," March 28, 2022 "
"        Acer Aspire 5 A515-46-R3UB | 15.6"" Full HD IPS Display | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Amazon Alexa | Windows 11 Home in S mode       ",4.6 out of 5 stars,"34,960 ratings", 320 answered questions ,$399.99,$369.99, B09HVC79PC ,#47 in Computers & Accessories (," December 9, 2021 "
"        Newest HP 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Pink(Renewed)       ",5.0 out of 5 stars,2 ratings,,$219.99,"
                                           ", B09VRX9YVW ,#329 in Computers & Accessories (," March 16, 2022 "
        HP Chromebook 14-ca061dx - 14in HD Touch - Celeron N3350 - 4GB - 32GB eMMC - Gray (Renewed)       ,4.3 out of 5 stars,71 ratings, 17 answered questions ,$209.00,$209.00, B07M9WQN18 ,#392 in Computers & Accessories (," December 27, 2018 "
"        KODAK 16 Friendly Zoom Fz152 with 3"" LCD, Black (FZ152-BK)       ",4.0 out of 5 stars,885 ratings, 112 answered questions ,$139.00,"
                                           ", B012T29V06 ,"#6,593 in Electronics ("," December 10, 2015 "
"        Canon EOS RP Full-frame Mirrorless Interchangeable Lens Camera + RF24-105mm Lens F4-7.1 IS STM Lens Kit-- Compact and Lightweight for Traveling and Vlogging, Black (3380C132)       ",4.7 out of 5 stars,866 ratings, 158 answered questions ,"$1,399.00","$1,299.00", B086TTTZR5 ,"#8,900 in Electronics ("," April 21, 2020 "
        48MP 4K HD Digital Camera Vlogging Camera with 3.0 inch 180° Flip Screen WiFi Digital Camcorder for YouTube with Wide-Angle Lens and 32GB Memory Card       ,3.8 out of 5 stars,232 ratings, 34 answered questions ,$114.99,"
                                           ", B08TH9P3V2 ,"#7,196 in Electronics ("," January 20, 2021 "
"        Minolta Pro Shot 20 Mega Pixel HD Digital Camera with 67x Optical Zoom, Full 1080p HD Video & 16GB SD Card (Purple)       ",4.3 out of 5 stars,185 ratings, 59 answered questions ,$400.13,"
                                           ", B08KHCZT57 ,"#43,001 in Electronics ("," October 1, 2020 "
        Canon PowerShot SX420 Digital Camera w/ 42x Optical Zoom - Wi-Fi & NFC Enabled (Black)       ,4.3 out of 5 stars,"2,528 ratings", 460 answered questions ,,, B019UDI5PO ,"#3,934 in Electronics ("," January 5, 2016 "
"        Digital Camera for Kids Boys and Girls - Digital Camera, Full HD 1080P 36.0 Mega Pixels Vlogging Camera with 16X Digital Zoom, LCD Screen for Students, Teens, Kids (Black1)       ",4.3 out of 5 stars,409 ratings, 48 answered questions ,$58.99,"
                                           ", B09BQM3KDX ,"#2,939 in Electronics ("," August 3, 2021 "
"        CANON EOS REBEL SL3 DSLR Camera, Built-in Wi-Fi, Dual Pixel CMOS AF and 3.0 inch Vari-angle Touch Screen, Body, Black       ",4.8 out of 5 stars,"1,072 ratings", 137 answered questions ,$649.00,"
                                           ", B07QFFNCG4 ,"#26,864 in Electronics ("," April 10, 2019 "
"        Canon EOS R5 Full-Frame Mirrorless Camera w/ RF24-105mm F4 L is USM Lens Kit - 8K Video, 45 Megapixel Full-Frame CMOS Sensor, DIGIC X Image Processor, Up to 12 fps Mechanical Shutter (Body + Lens)       ",4.8 out of 5 stars,504 ratings, 108 answered questions ,"$4,999.00","
                                           ", B08C6CWVNZ ,"#36,344 in Electronics ("," July 9, 2020 "
"        Panasonic LUMIX FZ300 Long Zoom Digital Camera Features 12.1 Megapixel, 1/2.3-Inch Sensor, 4K Video, WiFi, Splash & Dustproof Camera Body, LEICA DC 24X F2.8 Zoom Lens - DMC-FZ300K - (Black) USA       ",4.6 out of 5 stars,"1,996 ratings", 637 answered questions ,$597.99,$497.99, B011PKJI2Y ,"#2,606 in Electronics ("," July 15, 2015 "
"        Honey Optics 20X Optical Zoom 4K Camera - SDI & NDI Video PTZ Network IP Live Streaming for Broadcast, Conference, Churches, Events…       ",5.0 out of 5 stars,12 ratings, 7 answered questions ,"$2,250.00","
                                           ", B09BBHJJ2C ,"#81,180 in Electronics ("," July 25, 2021 "
"        VJIANGER 4K Digital Camera 48MP Pixel Autofocus Vlogging Camera 3.0"" IPS 30FPS Flip Screen 16X Digital Zoom Fixed Camera Lenses for Photography on YouTube with 32GB SD Card, 2 Batteries (Black)       ",3.9 out of 5 stars,411 ratings, 75 answered questions ,$129.99,$119.99, B09774BTKG ,"#4,511 in Electronics ("," December 31, 2020 "
"        Vlogging Camera, 4K Digital Camera for YouTube with WiFi, 16X Digital Zoom, 180 Degree Flip Screen, Wide Angle Lens, Macro Lens, 2 Batteries and 32GB TF Card       ",5.0 out of 5 stars,335 ratings, 4 answered questions ,$149.98,"
                                           ", B09TZWGXCH ,"#2,572 in Electronics ("," November 24, 2021 "
