product_name,product_brand,product_rating,verified_ratings,items_left,current_price,previous_price,discount
Type-C OTG Male To USB Type A Female USB Adapter,,4 out of 5,(73 verified ratings),23 items left,"₦ 1,200","₦ 2,500",52%
50L Single Door  Fridge BCD-55A-White,Skyrun,4.3 out of 5,(45 verified ratings),27 items left,"₦ 48,590","₦ 99,980",51%
Gas Cooker(3 Burners+1 Electric Hotplate)- GCS-3G1E/K Blcak,Skyrun,4.2 out of 5,(83 verified ratings),25 items left,"₦ 62,950","₦ 127,627",51%
T13 Bluetooth Earphone V5.1 True Wireless 4-Mic & ENC,Qcy,4.4 out of 5,(257 verified ratings),13 items left,"₦ 6,290 - ₦ 6,390","₦ 15,098",58%
"32"" Inches A32100AE HD TV With Overvoltage Protection",Itel,4.3 out of 5,(91 verified ratings),22 items left,"₦ 64,840","₦ 133,333",51%
Butterfly Link Necklace 5 Pendants,,3.5 out of 5,(582 verified ratings),5 items left,₦ 900,"₦ 3,400",74%
"A11 (3GB,64GB ROM) Android 11 Infrared Temperature Sensor 2.0 (16MP+8MP+5MP)+8MP 5150mAh 6.53"" Global Version-Mist Blue",UMIDIGI,4.3 out of 5,(38 verified ratings),14 items left,"₦ 53,900","₦ 109,608",51%
Queen Letter Pendant Necklace Gold,,3.3 out of 5,(1095 verified ratings),3 items left,₦ 670,"₦ 1,400",52%
655 Cyan Ink Advantage Cartridge - CZ110AE BHL,Hp,0 out of 5,(No ratings available),5 items left,"₦ 6,900","₦ 8,000",14%
Women's Two-layer Metal Pendant Chain Necklace,,3.1 out of 5,(1299 verified ratings),5 items left,₦ 580,"₦ 2,000",71%
S640 6*4 Inch Digital Graphics Tablets,VEIKK,4.5 out of 5,(28 verified ratings),30 items left,"₦ 11,160","₦ 26,000",57%
"Sprocket ZINK® Sticky-backed 2"" X3"" Photo Paper (20 Sheet Pack) - W4Z13A - Buy 4 And Get 1 FREE",Hp,4.6 out of 5,(7 verified ratings),2 items left,"₦ 5,500","₦ 6,000",8%
216A Yellow Toner - W2412A,Hp,0 out of 5,(No ratings available),5 items left,"₦ 30,600","₦ 35,700",14%
"105 Dual Sim, 1.77"" TFT Screen, 4MB/4MB Memory, 800 mAh Battery - Charcoal Black - Africa Edition",Nokia,0 out of 5,(No ratings available),87 items left,"₦ 7,393","₦ 9,410",21%
963 Magenta Ink Cartridge - 3JA24A BGX,Hp,4 out of 5,(1 verified rating),6 items left,"₦ 12,500","₦ 14,500",14%
Ultra 128GB MicroSDXC UHS-I Card 100MB/s U1 A1,SanDisk,4.5 out of 5,(25 verified ratings),20 items left,"₦ 9,500","₦ 14,353",34%
PS4 Controller Pad DualShock 4 Wireless Video Gamepad,,5 out of 5,(3 verified ratings),29 items left,"₦ 12,600","₦ 22,800",45%
"BISON X10G (4GB,64GB) IP68/IP69K 6.53""(16MP+8MP+5MP)+8MP NFC 6150mAh Android 11 Global Version Phones -Black",UMIDIGI,0 out of 5,(No ratings available),30 items left,"₦ 63,780","₦ 131,176",51%
GS1 Wireless  5.1 Receiver BT 5.1 Audio Adapter,Flang,4.4 out of 5,(49 verified ratings),29 items left,"₦ 2,100","₦ 4,298",51%
1.53KVA UPS (Uninterupted Power Supply) With Surge Protecton,Blue Gate,4.3 out of 5,(113 verified ratings),28 items left,"₦ 35,100","₦ 76,999",54%
"X3 Wireless Headphone, Bluetooth 5.0 Headset  Stereo Earbuds ,Noise Cancelling,Touch Contro,IPX5 Waterproof",Edifier,4.3 out of 5,(61 verified ratings),29 items left,"₦ 8,480","₦ 17,627",52%
"Wireless Wood Subwoofer, Compatible With TF U Disk Phone",,1 out of 5,(1 verified rating),1 item left,"₦ 14,900","₦ 34,935",57%
32GB USB OTG Flash Drive For Android & Computers - Red,FileKing,4.3 out of 5,(175 verified ratings),28 items left,"₦ 2,500","₦ 2,890",13%
Fairy Lights 12m 120 LEDs String Lights USB IP65 Waterproof,,4.5 out of 5,(70 verified ratings),26 items left,"₦ 2,300","₦ 5,078",55%
128GB Ultra OTG Micro Tapy-c Lightning USB 4In 1 Flash Drive,MOVFA,4.1 out of 5,(70 verified ratings),3 items left,"₦ 9,700","₦ 12,000",19%
32GB Micro SD Memory Card,FileKing,4.3 out of 5,(42 verified ratings),30 items left,"₦ 2,700","₦ 3,290",18%
2.4G Wireless Business Gaming Mouse/Mice Portable 2400DPI,,4.4 out of 5,(92 verified ratings),25 items left,"₦ 2,100","₦ 4,314",51%
Blue Butterfly Pendants Necklace For Lovers Valentines,,4 out of 5,(48 verified ratings),19 items left,"₦ 1,000","₦ 1,100",9%
"TWS1 PRO True Wireless Earbuds,Bluetooth V5.2 Headphone,CVC8.0 Noise Canceling, IP65 Dustproof & Waterproof,One-Step Pairing",Edifier,4.5 out of 5,(280 verified ratings),22 items left,"₦ 12,300","₦ 25,471",52%
"Confirm Polo & Cap Bundle  - Wine, Black",Chrysolite Designs,3.8 out of 5,(520 verified ratings),78 items left,"₦ 3,500","₦ 6,000",42%
Mini Clip-on Lapel Lavalier Microphone Mic Earphone Omni-directional Condenser Hands-free 3.5mm Jack For Smartphones Computer PC Laptop Loudspeaker Live Stream Singing,,5 out of 5,(2 verified ratings),26 items left,"₦ 1,300","₦ 2,148",39%
"43"" Inch Inches S431 Satellite ICast FHD TV (With Over Voltage Protection)",Itel,4.3 out of 5,(32 verified ratings),17 items left,"₦ 112,590","₦ 235,007",52%
"105 Dual Sim, 1.77"" TFT Screen, 4MB/4MB Memory, 800 mAh Battery - Blue - Africa Edition",Nokia,0 out of 5,(No ratings available),122 items left,"₦ 7,393","₦ 9,410",21%
In Pods 13 Macaron I13 Bluetooth 5.0  Earphone  With Mic,,4.6 out of 5,(8 verified ratings),30 items left,"₦ 2,900","₦ 5,880",51%
182-Litres Double Door Top Mount Fridge BCD-187A-INOX,Skyrun,4.4 out of 5,(211 verified ratings),6 items left,"₦ 123,950","₦ 254,706",51%
"G20, 6.5"" Screen, 4/128GB, 48/5/2/2MP Quad Camera  - Night",Nokia,0 out of 5,(No ratings available),15 items left,"₦ 80,276","₦ 102,190",21%
"Nokia 5310, 8MB/16MB RAM, 1200Mah - BLACK",Nokia,0 out of 5,(No ratings available),72 items left,"₦ 18,369","₦ 23,370",21%
Glow In The Dark Luminous Butterfly Rose Nail Stickers,,5 out of 5,(2 verified ratings),12 items left,₦ 360,₦ 800,55%
Ladies Silver Vintage Cuban Chain Butterfly Necklace,,3.7 out of 5,(357 verified ratings),13 items left,"₦ 2,470","₦ 7,400",67%
"Best Sellers Senior T-Shirt Bundle (5-in-1) - Grey, Navyblue, White, Black",Chrysolite Designs,3.9 out of 5,(2219 verified ratings),54 items left,"₦ 8,800","₦ 14,250",38%
USB Sound Card 7.1 USB To 3.5mm Earphone Mic Adapter,,4.3 out of 5,(117 verified ratings),23 items left,₦ 700,"₦ 1,386",49%
