Name,Location,Address,Review Score,Scored By,Popular Facilities
"
The Duncombe Arms
",United Kindgom,"
The Duncombe Arms Main, Ellastone, DE6 2GZ, United Kingdom
",9.5, · 182 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nBar\n'>]"
"
The Duncombe Arms
",United Kindgom,"
The Duncombe Arms Main, Ellastone, DE6 2GZ, United Kingdom
",9.5, · 182 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nBar\n'>]"
"
The Duncombe Arms
",United Kindgom,"
The Duncombe Arms Main, Ellastone, DE6 2GZ, United Kingdom
",9.5, · 182 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nBar\n'>]"
"
The Duncombe Arms
",United Kindgom,"
The Duncombe Arms Main, Ellastone, DE6 2GZ, United Kingdom
",9.5, · 182 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nBar\n'>]"
"
Harbour Guest House
",United Kindgom,"
24 Leazes Street, Amble, NE65 0AA, United Kingdom
",8.2, · 357 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nPets allowed\n'>]"
"
Harbour Guest House
",United Kindgom,"
24 Leazes Street, Amble, NE65 0AA, United Kingdom
",8.2, · 357 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nPets allowed\n'>]"
"
Harbour Guest House
",United Kindgom,"
24 Leazes Street, Amble, NE65 0AA, United Kingdom
",8.2, · 357 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nPets allowed\n'>]"
"
The Old Drum
",United Kindgom,"
16 Chapel Street, Petersfield, GU32 3DP, United Kingdom
",8.7, · 278 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nFree WiFi\n'>]"
"
The Old Drum
",United Kindgom,"
16 Chapel Street, Petersfield, GU32 3DP, United Kingdom
",8.7, · 278 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nFree WiFi\n'>]"
"
The Old Drum
",United Kindgom,"
16 Chapel Street, Petersfield, GU32 3DP, United Kingdom
",8.7, · 278 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nFree WiFi\n'>]"
"
The Old Drum
",United Kindgom,"
16 Chapel Street, Petersfield, GU32 3DP, United Kingdom
",8.7, · 278 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nFree WiFi\n'>]"
"
The Attic at Edenmill
",United Kindgom,"
The Attic, Edenmill Farm, Stockiemuir Road, Blanefield, G63 9AX, United Kingdom
",8.9, · 230 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nPets allowed\n'>]"
"
The Attic at Edenmill
",United Kindgom,"
The Attic, Edenmill Farm, Stockiemuir Road, Blanefield, G63 9AX, United Kingdom
",8.9, · 230 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nPets allowed\n'>]"
"
The Attic at Edenmill
",United Kindgom,"
The Attic, Edenmill Farm, Stockiemuir Road, Blanefield, G63 9AX, United Kingdom
",8.9, · 230 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nPets allowed\n'>]"
"
The Old Stone Trough
",United Kindgom,"
Colne Road, Kelbrook, Barnoldswick, BB18 6XY, United Kingdom
",8.3," · 2,368 reviews","[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nPets allowed\n'>]"
"
The Old Stone Trough
",United Kindgom,"
Colne Road, Kelbrook, Barnoldswick, BB18 6XY, United Kingdom
",8.3," · 2,368 reviews","[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nPets allowed\n'>]"
"
The Old Stone Trough
",United Kindgom,"
Colne Road, Kelbrook, Barnoldswick, BB18 6XY, United Kingdom
",8.3," · 2,368 reviews","[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nPets allowed\n'>]"
"
The Bull Inn Walsingham
",United Kindgom,"
8 Common Place, Little Walsingham, NR22 6BP, United Kingdom
",8.3, · 217 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nPets allowed\n'>]"
"
The Bull Inn Walsingham
",United Kindgom,"
8 Common Place, Little Walsingham, NR22 6BP, United Kingdom
",8.3, · 217 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nPets allowed\n'>]"
"
The Bull Inn Walsingham
",United Kindgom,"
8 Common Place, Little Walsingham, NR22 6BP, United Kingdom
",8.3, · 217 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nPets allowed\n'>]"
"
The Bull Inn Walsingham
",United Kindgom,"
8 Common Place, Little Walsingham, NR22 6BP, United Kingdom
",8.3, · 217 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nPets allowed\n'>]"
"
The Bear Hotel
",United Kindgom,"
High Street, Cowbridge, CF71 7AF, United Kingdom
",8.3, · 360 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nFree parking\n'>]"
"
The Bear Hotel
",United Kindgom,"
High Street, Cowbridge, CF71 7AF, United Kingdom
",8.3, · 360 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nFree parking\n'>]"
"
The Bear Hotel
",United Kindgom,"
High Street, Cowbridge, CF71 7AF, United Kingdom
",8.3, · 360 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nFree parking\n'>]"
"
Tottington Manor Hotel
",United Kindgom,"
Edburton Road, Henfield, BN5 9LJ, United Kingdom
",8.4, · 80 reviews,"[<Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\n'>, <Selector xpath=""(//h3[contains(text(), 'popular facilities')]/following-sibling::div)[1]/text()"" data='\nTea/coffee maker in all rooms\n'>]"
