Name,Country,Location,Practice Area,Law Firm,Profile URL,Law Firm URL,Rank
H Hampton Boles,"('USA', False)",Alabama,Banking & Finance,Boles Holmes Parkman White LLC,www.chambers.com/lawyer/h-hampton-boles-usa-5:162912,www.chambers.com/law-firm/boles-holmes-parkman-white-llc-usa-5:23135621,Senior Statespeople
Richard P Carmody,"('USA', False)",Alabama,Banking & Finance,Adams and Reese LLP,www.chambers.com/lawyer/richard-p-carmody-usa-5:148753,www.chambers.com/law-firm/adams-and-reese-llp-usa-5:65472,Senior Statespeople
Kris Lowry,"('USA', False)",Alabama,Banking & Finance,"Maynard, Cooper & Gale P.C.",www.chambers.com/lawyer/kris-lowry-usa-5:163081,www.chambers.com/law-firm/maynard-cooper-gale-pc-usa-5:65200,Band 1
Dwight Mixson,"('USA', False)",Alabama,Banking & Finance,Burr & Forman LLP,www.chambers.com/lawyer/dwight-mixson-usa-5:162928,www.chambers.com/law-firm/burr-forman-llp-usa-5:67095,Band 1
Randall Morrow,"('USA', False)",Alabama,Banking & Finance,"Maynard, Cooper & Gale P.C.",www.chambers.com/lawyer/randall-morrow-usa-5:270457,www.chambers.com/law-firm/maynard-cooper-gale-pc-usa-5:65200,Band 2
Gail L Mills,"('USA', False)",Alabama,Banking & Finance,Burr & Forman LLP,www.chambers.com/lawyer/gail-l-mills-usa-5:219089,www.chambers.com/law-firm/burr-forman-llp-usa-5:67095,Band 2
J David Dresher,"('USA', False)",Alabama,Banking & Finance,Compton Jones Dresher,www.chambers.com/lawyer/j-david-dresher-usa-5:222424,www.chambers.com/law-firm/compton-jones-dresher-usa-5:23259537,Band 2
"Atkins Roberts, Jr.","('USA', False)",Alabama,Banking & Finance,Bradley Arant Boult Cummings LLP,www.chambers.com/lawyer/atkins-roberts-jr-usa-5:1392281,www.chambers.com/law-firm/bradley-arant-boult-cummings-llp-usa-5:200590,Band 3
Charles Moore,"('USA', False)",Alabama,Banking & Finance,Bradley Arant Boult Cummings LLP,www.chambers.com/lawyer/charles-moore-usa-5:924680,www.chambers.com/law-firm/bradley-arant-boult-cummings-llp-usa-5:200590,Band 3
David R. Kinman,"('USA', False)",Alabama,Banking & Finance,"Maynard, Cooper & Gale P.C.",www.chambers.com/lawyer/david-r-kinman-usa-5:1215693,www.chambers.com/law-firm/maynard-cooper-gale-pc-usa-5:65200,Band 3
James E Vann,"('USA', False)",Alabama,Banking & Finance,Dentons Sirote,www.chambers.com/lawyer/james-e-vann-usa-5:378896,www.chambers.com/law-firm/dentons-sirote-usa-5:111,Band 3
James Webb,"('USA', False)",Alabama,Banking & Finance,Bradley Arant Boult Cummings LLP,www.chambers.com/lawyer/james-webb-usa-5:719335,www.chambers.com/law-firm/bradley-arant-boult-cummings-llp-usa-5:200590,Band 3
