company_location,company_name,expected_salary,hiring_number,job_description,job_title,job_url,time_posted
Lagos,TAT AGENCY LIMITED,"#40,000 - #50,000 a month",1,"We are in need of individual who has the ability to learn fast, has the capacity to handle pressure and passion for the travel industry.Job Types: Full-time, InternshipContract length: 6 monthsSalary: ₦40,000.00 - ₦50,000.00 per monthCOVID-19 considerations:Use of face mask is highly encouragedApplication Deadline: 15/04/2022",Visa Intern,https://ng.indeed.com/job-description?cmp=TAT-AGENCY-LIMITED&t=Visa+Intern&jk=fed7b93af26ebbf7&vjs=3,Urgently hiring
Lagos,Henkel,,,"Henkel holds leading positions in many markets and categories around the world. Founded in 1876, Henkel looks back on more than 140 years of success.
We are recruiting to fill the position below:
Job Position: Sales Intern
Job ID: 22031224
Job Location: Lagos
Your Role
Gather, input and analyse sales data for the region.
Drive implementation, execution and tracking of trade marketing activities, sales team and distributors incentive programme for effectiveness and optimal results.
Gathering of Market / Consumer/ Competitor Intelligence.
Track and report regional and brand performances.
Daily gathering, analysing and reporting sales team secondary sales data
.

Your Skills and Qualifications
Relevant Bachelor’s Degree qualification.
0 - 1 experience.
Basic MS Excel and Power point (Data collection and analysis)

Note
Henkel is an equal opportunity employer.
We look for a diverse team of individuals who possess different backgrounds, experiences, personalities and mindsets.",Henkel Recruitment for Sales Intern,https://ng.indeed.com/viewjob?jk=41340f6c409f6256&from=serp&vjs=3,Posted 20 days ago
Lagos,Norrenberger,,,"Norrenberger is an Integrated Financial Services group that provides individuals and institutions with a range of financial products and services in Asset Management, Investment Banking and Securities Trading tailored to meet our diverse investor’s needs and expectations. Our component companies are licensed and regulated by the Securities &amp; Exchange Commission (SEC).
We are recruiting to fill the position below:

Job Position: Compliance Intern (NYSC)
Job Location: Lagos
Employment Type: NYSC
Summary
We are looking for highly innovative and knowledge-driven NYSC Interns with strong academic achievements and good communication skills to join our Compliance department
.

Education
Minimum of Second-class lower Degree (BA / BSc) in Law, Business Administration or Finance

Experience:
With 0 – 3 months of experience, we are more than happy to teach you.
All we ask? Come along with an innovative mind and a willingness to learn.

Skills:
Ability to communicate clearly and effectively with supervisors.
Ability to work independently as well as with a team.
Creative thinking and analytical skills
Strong work ethics, reliability and willingness to learn.
Ability to work flexibly across multiple projects and tasks.
Great attention to detail and excellent organizational skills.

Method of Application
Interested and qualified candidates should send their updated CV and Call-up / Posting Letter to: internship@norrenberger.com using the Job position as the subject of the mail.",Compliance Intern (NYSC) Recruitment at Norrenberger,https://ng.indeed.com/viewjob?jk=b95b9007b6a8dfd9&from=serp&vjs=3,Posted 2 days ago
Lagos,SaroAfrica International Limited,,,"Saroafrica International Limited is an indigenous private sector player with 3 decades of experience in Nigeria. Saroafrica has five Subsidiaries (Saro Agrosciences, Saro Lifecare, Saro Agro-Allied, Gossy Warm Spring and Saro Oil Palm) and two Joint Ventures (AgriseedCo and Green Hills Agricultural Products). Saroafrica is set to become a leading consumer, manufacturing, FMCG and integrated agricultural value chain group. In pursuit of this ambition Saroafrica is making significant investment in a Palm Plantation and Cassava to Ethanol Plant. This role is expected to be for Gossy Warm Springs

.
We are recruiting to fill the position below:
Job Position: Intern
Job Location: Victoria Island, Lagos
Employment Type: Internship
Job Requirements
Candidates should possess a graduate qualification in Accounting, Law, Social Sciences and Agronomy (Minimum of second class upper)
Good knowledge of word processing tools &amp; spreadsheets (MS Office Words, Excel etc)
Good command of English
Candidate must be Computer Savvy.

Note: Corps members are advised to apply.",SaroAfrica International Limited Recruitment for Interns,https://ng.indeed.com/viewjob?jk=18dc36cdccc98386&from=serp&vjs=3,Posted 14 days ago
Lagos,Gratitude Inc.,"#50,000 a month",3,"IFS Group, a Cleaning and Facility Management company, is currently recruiting suitable candidates to fill the position below:Job Title: Graduate Computer and Helpdesk InternJob Location: Agbara, Ota-OgunEmployment Type: InternshipJob DescriptionGraduate in Computer Science discipline is required to participate in a 6months Internship in a Facility Management Company.Requirements:Qualified candidates should possess a minimum of 1 year experience and be ready to work at multiple locations during internship.SalaryN50,000 Monthly.Application Closing Date7th May, 2022.How to ApplyInterested and qualified candidates should send their CVJob Type: Full-timeSalary: ₦50,000.00 per month",GRADUATE COMPUTER AND HELPDESK INTERN,https://ng.indeed.com/job-description?cmp=Gratitude-Inc.&t=Graduate+Computer+Helpdesk+Intern&jk=7dc8f65d9eb988ee&vjs=3,Urgently hiring
Lagos,CreditWolf Inc,,,"Credit Wolf is a digital banking platform that permits fixed deposits at highly competitive interest rates, savings for unforeseen contingencies and extends credit to low-income earners and small businesses. We understand the detrimental effects of economic change and proffer considerate agreements to customers. There is no requirement for collateral. Interest rates are set by a variety of factors, including your repayment history and Creditwolf's cost of lending. We also have a digital wallet where you can convert your savings to currency to that can be sent worldwide. We are dedicated to enhancing the financial status of the lower income class by delivering top-notch services at pocket-friendly interest rates. Credit Wolf is currently headquartered in Lagos, Nigeria

.
We are recruiting to fill the position below:

Job Position: Frontend Developer Intern
Job Location: Surulere, Lagos
Employment Type: Internship
Responsibilities and Duties
Develops a new user-facing features using React.js
Builds reusable components and front-end libraries for future use
Translating designs and wireframes into high quality code
Optimizing components for maximum performance across a vast array of web-capable devices and browsers.

Requirements
Corps Members or IT students Only.
Familiarity with RESTful APIs.
Knowledge of isomorphic React is a plus.
Knowledge of modern authorization mechanisms, such as JSON Web Token.
Experience with popular React.js workflows (such as Flux or Redux).

Salary
N30,000 / month.
Method of Application
Interested and qualified candidates should send their CV to: careers@creditwolfinc.com using the job position as the subject of the mail.",Frontend Developer Intern Recruitment at CreditWolf Inc,https://ng.indeed.com/viewjob?jk=931d2f906f821e19&from=serp&vjs=3,Posted 12 days ago
Lagos,PlentyTechJobs.Africa,,10+,"ResponsibilitiesJava developer responsibilities include:Designing, developing and delivering high-volume, low-latency applications for business-critical systems.Contribute to all phases of the development life cycleWrite well designed, testable, efficient codeEnsure designs are in compliance with specificationsPrepare and produce releases of software componentsSupport continuous improvement by investigating alternatives and technologies and presenting these for architectural review.RequirementsRequirements:B.Sc in Computer Science or any related discipline.Must have completed NYSC.Minimum work experience of 5 years in Fintech/ banking industry.Knowledge of the following: Spring boot framework, Apache tomcat, JSP, Oracle technologies, Soap and rest services, Card request manager, Dispute automation system, Customer relations manager.Should be willing to work onsite.Job Type: Part-timeApplication Deadline: 28/04/2022",Java Developer Intern,https://ng.indeed.com/job-description?cmp=PlentyTechJobs.Africa&t=Java+Developer+Intern&jk=c485587981bf2e56&vjs=3,Urgently hiring
Lagos,Brainnest,,,"Brainnest - The business management and training company headquartered in Bremen, Germany. We are a success-driven firm that provides management advisory and contracting services customized to help companies from different industries with business management problems. Brainnest runs, leads, and manages complex projects and initiatives. We have begun from scratch when a network of professionals, Ph.D. holders, and highly skilled personnel bring to a business table their practical and academic years of experience to form up a concrete blueprint on which the company has been designed.
Since 2020, we offer a combination of expertise, proficiency, and commitment leveraging our deep industry experience, along with using analytical rigor to drive outstanding results for businesses. We proudly provide top-class consulting and training services for a wide range of industries around the world

. A well-equipped team, advanced tools, and modern methodologies are some of what we correctly utilize to offer our clients what makes them the best in their fields.
We are recruiting to fill the position below:
Job Position: Intern / Junior Frontend Developer (Remote Frontend Development Internship)
Job Location: Lagos (Remote)
Industry IT Services
Schedule: Part-time (10-20h / week)
Job Description
Our team is looking for a Frontend Development Intern to join them in the upcoming weeks. This position is great for an aspiring frontend development professional looking to work on business-critical projects and gain relevant work experience.

Your Profile
Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
Capability to produce content on time, with attention to detail, and an emphasis on identifying and pitching to a target audience
A well-organized team player with the ability to perform various tasks, act individually, and think creatively
Willingness to learn and develop frontend development skills
Competitive and proactive attitude
Capacity to stay professional in stressful/dispute situation
Fluency in English

Benefits
You will learn how to:
Help create landing pages for our new services, features, webinars and marketing campaigns
Maintain, evolve and improve our website experience for thousands of users
Work closely with our friendly, creative and helpful marketing team, sales team and project managers
Design, build, test, deploy and maintain mission-critical, customer-facing web applications
Use different technologies and tools to support the delivery of high-quality software
Adjust different approaches dependent on project requirements
Write clear and consistent code and assure its quality
Analyze project requirements, design documents and maintain software specifications as a member of the project development team
Accomplish complex business projects and cooperate with an international client.",Intern / Junior Frontend Developer (Remote Frontend Development Internship) Recruitment at Brainnest,https://ng.indeed.com/viewjob?jk=1786fd60aba9cf6f&from=serp&vjs=3,Posted 9 days ago
Lagos,Draiklinas Limited,"#50,000 a month",5,"Must be a graduateA corper can also applyPast experience in the technical fieldMust be willing to resume immediatelyJob Types: Full-time, InternshipSalary: ₦50,000.00 per month",Service assurance/ helpdesk intern,https://ng.indeed.com/job-description?cmp=Draiklinas-Limited&t=Service+Assurance&jk=0604f392d1662666&vjs=3,Urgently hiring
Lagos,Let's Go There,,,"Role Description:
A focused and computer-savvy individual engaging solely in data entry. The candidate must exhibit excellent data capture and entry integrity, needed to populate the LGTNigeria™ core database; a time consuming activity that requires a lot of concentration.

General experience guidelines:
&gt; Computer-savvy, quick and accurate typist
&gt; Confident, good observation, communication and writing skills
&gt; Better suited as part-time work for a student, intern or NYSC
&gt; 1 Month Contract-based freelance work
&gt; N40 per listing entered, 20 listings to be entered daily
&gt; 600 listings to be entered per month
&gt; Monthly pay is N30,000 (N24,000 + N6,000 internet allowance)

To Apply:
Send your CV to ""recruitment@lgtnigeria.com"" with the subject: ""Data Entry Keyer""",Data Entry Keyer,https://ng.indeed.com/viewjob?jk=7fb4f2067677d60a&from=serp&vjs=3,Posted 30+ days ago
