Name,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
Ginga Eiyuu Densetsu,OVA,110,Finished Airing,"Jan 8, 1988 to Mar 17, 1997","Tokuma Japan Communications, TV Tokyo, Tokuma Shoten, Kitty Films",Sentai Filmworks,"Kitty Film Mitaka Studio, K-Factory",Novel,"Drama, Sci-Fi","Space, Military",26 min. per ep.,R - 17+ (violence & profanity),"9.03 scored by 60,742 users",#11,#694,"274,161","14,281"
Gintama': Enchousen,TV,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013","Dentsu, TV Tokyo, Miracle Bus, Shueisha, Aniplex","None found, add some",Sunrise,Manga,"Sci-Fi, Action, Comedy","Samurai, Parody, Historical",24 min. per ep.,PG-13 - Teens 13 or older,"9.04 scored by 137,714 users",#10,#693,"274,317","2,696"
Fruits Basket: The Final,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021","Avex Pictures, TV Tokyo, Nihon Ad Systems, Hakusensha, TMS Music, TV Osaka",Funimation,TMS Entertainment,Manga,"Drama, Slice of Life, Romance, Supernatural",,23 min. per ep.,PG-13 - Teens 13 or older,"9.04 scored by 145,081 users",#9,#566,"324,894","15,045"
Hunter x Hunter (2011),TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014","Shueisha, Nippon Television Network, VAP",VIZ Media,Madhouse,Manga,"Adventure, Action, Fantasy",Super Power,23 min. per ep.,PG-13 - Teens 13 or older,"9.05 scored by 1,349,214 users",#8,#11,"2,296,870","176,155"
Gintama: The Final,Movie,1,Finished Airing,"Jan 8, 2021","TV Tokyo, Warner Bros. Japan",Eleven Arts,Bandai Namco Pictures,Manga,"Drama, Sci-Fi, Action, Comedy","Samurai, Parody, Historical",1 hr. 44 min.,PG-13 - Teens 13 or older,"9.05 scored by 40,122 users",#7,#1782,"94,343","3,278"
Gintama',TV,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012","Dentsu, Trinity Sound, TV Tokyo, Miracle Robo, Shueisha, Studio Jack, Aniplex","None found, add some",Sunrise,Manga,"Sci-Fi, Action, Comedy","Samurai, Parody, Historical",24 min. per ep.,PG-13 - Teens 13 or older,"9.06 scored by 189,123 users",#6,#382,"456,024","6,791"
Shingeki no Kyojin: The Final Season Part 2,TV,12,Currently Airing,"Jan 10, 2022 to Apr 4, 2022","Dentsu, Production I.G, Pony Canyon Enterprise, Pony Canyon, Kodansha, Mainichi Broadcasting System","None found, add some",MAPPA,Manga,"Drama, Mystery, Action, Fantasy","Super Power, Military",23 min. per ep.,R - 17+ (violence & profanity),"9.07 scored by 206,606 users",#5,#186,"740,197","21,523"
Shingeki no Kyojin Season 3 Part 2,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019","Dentsu, Production I.G, Pony Canyon Enterprise, Pony Canyon, Kodansha, Mainichi Broadcasting System, Techno Sound",Funimation,Wit Studio,Manga,"Drama, Mystery, Action, Fantasy","Super Power, Military",23 min. per ep.,R - 17+ (violence & profanity),"9.08 scored by 1,215,338 users",#4,#31,"1,761,485","49,323"
Steins;Gate,TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011","Kadokawa Pictures Japan, Nitroplus, Movic, Media Factory, Frontier Works, AT-X",Funimation,White Fox,Visual novel,"Drama, Sci-Fi, Suspense",Psychological,24 min. per ep.,PG-13 - Teens 13 or older,"9.09 scored by 1,164,864 users",#3,#13,"2,188,830","167,263"
Gintama°,TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016","Dentsu, TV Tokyo, Aniplex","Crunchyroll, Funimation",Bandai Namco Pictures,Manga,"Sci-Fi, Action, Comedy","Samurai, Parody, Historical",24 min. per ep.,PG-13 - Teens 13 or older,"9.09 scored by 183,234 users",#2,#336,"518,187","13,757"
Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010","Mainichi Broadcasting System, Square Enix, Studio Moriken, Aniplex","Aniplex of America, Funimation",Bones,Manga,"Drama, Adventure, Action, Fantasy, Comedy",Military,24 min. per ep.,R - 17+ (violence & profanity),"9.15 scored by 1,709,648 users",#1,#3,"2,817,920","197,688"
Great Teacher Onizuka,TV,43,Finished Airing,"Jun 30, 1999 to Sep 17, 2000","Fuji TV, Aniplex","Tokyopop, Discotek Media",Studio Pierrot,Manga,"Drama, Comedy",School,25 min. per ep.,R - 17+ (violence & profanity),"8.69 scored by 332,983 users",#50,#212,"707,051","22,602"
Jujutsu Kaisen (TV),TV,24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021","Mainichi Broadcasting System, TOHO animation, Sumzap, Shueisha, dugout","None found, add some",MAPPA,Manga,"Supernatural, Action","School, Demons",23 min. per ep.,R - 17+ (violence & profanity),"8.70 scored by 1,064,622 users",#49,#32,"1,753,178","65,575"
Code Geass: Hangyaku no Lelouch,TV,25,Finished Airing,"Oct 6, 2006 to Jul 29, 2007","Bandai Namco Entertainment, Mainichi Broadcasting System, Bandai Visual, Sony Music Entertainment, Hakuhodo DY Media Partners, Bandai","Bandai Entertainment, Funimation",Sunrise,Original,"Drama, Sci-Fi, Action","Super Power, School, Mecha, Military",24 min. per ep.,R - 17+ (violence & profanity),"8.70 scored by 1,194,903 users",#48,#17,"1,945,502","97,315"
86 Part 2,TV,12,Finished Airing,"Oct 3, 2021 to Mar 19, 2022","Kadokawa, Bandai Spirits, Aniplex","None found, add some",A-1 Pictures,Light novel,"Drama, Sci-Fi, Action","Mecha, Military",23 min. per ep.,R - 17+ (violence & profanity),"8.70 scored by 87,867 users",#47,#726,"262,183","6,083"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,Finished Airing,"Feb 20, 1999 to Sep 22, 1999",Aniplex,"Aniplex of America, ADV Films",Studio Deen,Manga,"Drama, Romance, Action","Samurai, Martial Arts, Historical",30 min. per ep.,R - 17+ (violence & profanity),"8.71 scored by 125,685 users",#46,#757,"253,664","5,833"
Mushishi Zoku Shou,TV,10,Finished Airing,"Apr 5, 2014 to Jun 21, 2014","Delfi Sound, Kodansha, Aniplex",Aniplex of America,Artland,Manga,"Slice of Life, Adventure, Fantasy, Mystery, Supernatural",Historical,24 min. per ep.,PG-13 - Teens 13 or older,"8.71 scored by 102,346 users",#45,#718,"264,629","1,400"
Mo Dao Zu Shi: Wanjie Pian,ONA,12,Finished Airing,"Aug 7, 2021 to Oct 16, 2021",Tencent Penguin Pictures,"None found, add some",B.CMAY PICTURES,Web novel,"Drama, Supernatural, Action","Demons, Historical",24 min. per ep.,R - 17+ (violence & profanity),"8.71 scored by 12,127 users",#44,#2540,"52,223","1,170"
