Name,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,Sundays at 17:00 (JST),"Square Enix, Aniplex, Studio Moriken, Mainichi Broadcasting System","Aniplex of America, Funimation",Bones,Manga,"Comedy, Drama, Action, Fantasy, Adventure",Military,Shounen,24 min. per ep.,R - 17+ (violence & profanity),"(scored by, 9.15, 1709648, indicates a, 1, weighted score, ., 1,709,648 users)","2, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime, #1",#3,"2,817,920","197,688"
Code Geass: Hangyaku no Lelouch R2,TV,25,Finished Airing,"Apr 6, 2008 to Sep 28, 2008",Spring 2008,Sundays at 17:00 (JST),"Bandai Namco Entertainment, Bandai Visual, Bandai, Mainichi Broadcasting System, Hakuhodo DY Media Partners","Bandai Entertainment, Funimation",Sunrise,Original,"Sci-Fi, Action, Drama","Mecha, Super Power, Military",,24 min. per ep.,R - 17+ (violence & profanity),"1027797, (scored by, 1,027,797 users), indicates a, 1, 8.91, weighted score, .","2, based on the, #19, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#46,"1,534,871","69,395"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,Finished Airing,"Jul 6, 2013",,,"Dentsu, Bandai, TV Tokyo, Warner Bros. Japan, Aniplex, Shueisha","None found, add some",Sunrise,Manga,"Sci-Fi, Action, Comedy","Samurai, Parody, Historical",Shounen,1 hr. 50 min.,PG-13 - Teens 13 or older,"(scored by, 116,072 users), 8.93, indicates a, 1, weighted score, ., 116072","2, based on the, #18, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#933,"205,368","1,975"
Clannad: After Story,TV,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",Fall 2008,Fridays at 01:59 (JST),"Rakuonsha, Pony Canyon, Animation Do, TBS",Sentai Filmworks,Kyoto Animation,Visual novel,"Comedy, Drama, Romance, Slice of Life, Supernatural",,,24 min. per ep.,PG-13 - Teens 13 or older,"(scored by, 8.94, indicates a, 1, weighted score, 587330, ., 587,330 users)","#17, 2, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#102,"1,062,359","65,505"
Gintama,TV,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,Thursdays at 18:00 (JST),"Dentsu, Audio Highs, Miracle Robo, TV Tokyo, Aniplex, Trinity Sound, Shueisha","Sentai Filmworks, Crunchyroll",Sunrise,Manga,"Sci-Fi, Action, Comedy","Samurai, Parody, Historical",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"276,696 users), (scored by, 8.95, 276696, 1, indicates a, weighted score, .","2, #16, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#127,"924,655","53,467"
Violet Evergarden Movie,Movie,1,Finished Airing,"Sep 18, 2020",,,Shochiku,Funimation,Kyoto Animation,Light novel,"Fantasy, Slice of Life, Drama",,,2 hr. 20 min.,PG-13 - Teens 13 or older,"(scored by, indicates a, 1, 150,030 users), 150030, weighted score, 8.96, .","2, based on the, #15, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#437,"409,265","6,083"
Koe no Katachi,Movie,1,Finished Airing,"Sep 17, 2016",,,"ABC Animation, Pony Canyon, Kodansha, Quaras, Shochiku","NYAV Post, Eleven Arts",Kyoto Animation,Manga,,School,Shounen,2 hr. 10 min.,PG-13 - Teens 13 or older,"(scored by, 1,315,469 users), 1315469, indicates a, 1, weighted score, 8.96, .","2, #14, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#19,"1,905,456","73,625"
3-gatsu no Lion 2nd Season,TV,22,Finished Airing,"Oct 14, 2017 to Mar 31, 2018",Fall 2017,Saturdays at 23:00 (JST),"Asmik Ace, Dentsu, Aniplex, Hakusensha, Toy's Factory, NHK",Aniplex of America,Shaft,Manga,"Slice of Life, Drama",Game,Seinen,25 min. per ep.,PG-13 - Teens 13 or older,"(scored by, 166438, 166,438 users), indicates a, 1, weighted score, 8.96, .","2, #13, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#526,"342,839","13,746"
Gintama.,TV,12,Finished Airing,"Jan 9, 2017 to Mar 27, 2017",Winter 2017,Mondays at 01:35 (JST),"TV Tokyo, Dentsu, Aniplex, Shueisha","None found, add some",Bandai Namco Pictures,Manga,"Sci-Fi, Action, Comedy","Samurai, Parody, Historical",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"(scored by, 116,879 users), indicates a, 1, 8.99, 116879, ., weighted score","2, #12, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#733,"260,850","2,447"
Ginga Eiyuu Densetsu,OVA,110,Finished Airing,"Jan 8, 1988 to Mar 17, 1997",,,"Kitty Films, TV Tokyo, Tokuma Shoten, Tokuma Japan Communications",Sentai Filmworks,"Kitty Film Mitaka Studio, K-Factory",Novel,"Sci-Fi, Drama","Space, Military",,26 min. per ep.,R - 17+ (violence & profanity),"(scored by, indicates a, 1, 60742, weighted score, 60,742 users), 9.03, .","2, based on the, #11, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#694,"274,161","14,281"
Gintama': Enchousen,TV,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013",Fall 2012,Thursdays at 18:00 (JST),"Dentsu, TV Tokyo, Miracle Bus, Aniplex, Shueisha","None found, add some",Sunrise,Manga,"Sci-Fi, Action, Comedy","Samurai, Parody, Historical",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"(scored by, 9.04, indicates a, 1, 137714, 137,714 users), ., weighted score","2, #10, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#693,"274,317","2,696"
Fruits Basket: The Final,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 01:30 (JST),"Avex Pictures, TV Tokyo, TMS Music, TV Osaka, Hakusensha, Nihon Ad Systems",Funimation,TMS Entertainment,Manga,"Romance, Slice of Life, Drama, Supernatural",,Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,"(scored by, 145,081 users), 9.04, indicates a, 1, 145081, weighted score, .","#9, 2, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#566,"324,894","15,045"
Hunter x Hunter (2011),TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,Sundays at 10:55 (JST),"VAP, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,"Fantasy, Adventure, Action",Super Power,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"(scored by, indicates a, 9.05, 1, 1,349,214 users), weighted score, ., 1349214","2, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., based on the, #8, top anime",#11,"2,296,870","176,155"
Gintama: The Final,Movie,1,Finished Airing,"Jan 8, 2021",,,"TV Tokyo, Warner Bros. Japan",Eleven Arts,Bandai Namco Pictures,Manga,"Sci-Fi, Action, Comedy, Drama","Samurai, Parody, Historical",Shounen,1 hr. 44 min.,PG-13 - Teens 13 or older,"(scored by, indicates a, 9.05, 1, weighted score, ., 40122, 40,122 users)","2, #7, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#1782,"94,343","3,278"
