author,tags,text
Albert Einstein,"change,deep-thoughts,thinking,world",“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
J.K. Rowling,"abilities,choices","“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
Albert Einstein,"inspirational,life,live,miracle,miracles",“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
Jane Austen,"aliteracy,books,classic,humor","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
Marilyn Monroe,"be-yourself,inspirational","“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
Albert Einstein,"adulthood,success,value",“Try not to become a man of success. Rather become a man of value.”
André Gide,"life,love",“It is better to be hated for what you are than to be loved for what you are not.”
Thomas A. Edison,"edison,failure,inspirational,paraphrased","“I have not failed. I've just found 10,000 ways that won't work.”"
Eleanor Roosevelt,misattributed-eleanor-roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”
Steve Martin,"humor,obvious,simile","“A day without sunshine is like, you know, night.”"
Marilyn Monroe,"friends,heartbreak,inspirational,life,love,sisters","“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”"
J.K. Rowling,"courage,friends","“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”"
Albert Einstein,"simplicity,understand","“If you can't explain it to a six year old, you don't understand it yourself.”"
Bob Marley,love,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”"
Dr. Seuss,fantasy,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”"
Douglas Adams,"life,navigation","“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”"
Elie Wiesel,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”"
Friedrich Nietzsche,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage","“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”"
Mark Twain,"books,contentment,friends,friendship,life","“Good friends, good books, and a sleepy conscience: this is the ideal life.”"
Allen Saunders,"fate,life,misattributed-john-lennon,planning,plans",“Life is what happens to us while we are making other plans.”
Pablo Neruda,"love,poetry","“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”"
Ralph Waldo Emerson,happiness,“For every minute you are angry you lose sixty seconds of happiness.”
Mother Teresa,attributed-no-source,"“If you judge people, you have no time to love them.”"
Garrison Keillor,"humor,religion",“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”
Jim Henson,humor,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”
Dr. Seuss,"comedy,life,yourself","“Today you are You, that is truer than true. There is no one alive who is Youer than You.”"
Albert Einstein,"children,fairy-tales","“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”"
J.K. Rowling,,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”"
Albert Einstein,imagination,“Logic will get you from A to Z; imagination will get you everywhere.”
Bob Marley,music,"“One good thing about music, when it hits you, you feel no pain.”"
