Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Test,Population,Continent
USA,"82,062,989",,"1,012,151 ",,"79,908,520",,"1,142,318","1,624","991,173,404","334,437,650",North America
India,"43,036,132",,"521,722 ",,"42,503,383",,"11,027",698,"794,118,951","1,404,013,663",Asia
Brazil,"30,152,402",,"661,309 ",,"29,038,896",,"452,197","8,318","63,776,166","215,233,355",South America
France,"26,947,375",,"143,288 ",,,,"2,786,036","1,541","260,504,402","65,529,123",Europe
Germany,"22,679,247",,"132,311 ",,"18,618,400","+203,800","3,928,536","2,494","122,332,384","84,258,058",Europe
UK,"21,549,830",,"169,759 ",,,"+99,711","1,672,911",357,"509,604,812","68,517,106",Europe
Russia,"18,007,915","+11,855","371,964 ",+248,"17,239,857","+26,755","396,094","2,300","273,400,000","146,045,203",Europe
S. Korea,"15,424,598","+90,928","19,679 ",+258,N/A,N/A,N/A,"1,099","15,804,065","51,347,270",Asia
Italy,"15,292,048",,"160,748 ",,"13,884,744",,"1,246,556",465,"206,399,929","60,304,492",Europe
Turkey,"14,958,974",,"98,409 ",,"14,650,621",,"209,944",975,"155,956,251","85,944,992",Asia
Spain,"11,627,487",,"103,104 ",,"11,033,321",,"491,062",371,"471,036,328","46,786,827",Europe
Vietnam,"10,198,236",,"42,813 ",,"8,532,523",,"1,622,900","1,403","85,007,902","98,888,445",Asia
Argentina,"9,052,536",,"128,198 ",,"8,885,072",,"39,266",429,"35,611,642","45,929,685",South America
Netherlands,"7,971,855",,"22,080 ",,,"+69,186","916,041",122,"21,107,399","17,201,968",Europe
Iran,"7,194,768","+3,125","140,650 ",+34,"6,922,629","+3,769","131,489","1,487","50,079,995","85,895,228",Asia
Japan,"7,039,563","+47,876","28,684 ",+38,"6,509,598","+41,498","501,281",465,"44,736,404","125,791,297",Asia
Colombia,"6,088,034",,"139,719 ",,"5,921,185",,"27,130",342,"34,135,355","51,842,598",South America
Indonesia,"6,033,903","+1,196","155,674 ",+48,"5,808,380","+3,978","69,849","2,771","93,301,127","278,641,793",Asia
Poland,"5,978,596",+381,"115,635  ",,"5,333,836",+26,"529,125",268,"35,859,677","37,773,256",Europe
Mexico,"5,722,933",+392,"323,725 ",+5,"5,022,194","+1,049","377,014","4,798","15,674,047","131,329,847",North America
Australia,"5,107,611","+42,726","6,569 ",+5,"4,572,728",,"528,314",121,"67,759,572","26,023,424",Australia/Oceania
Ukraine,"4,982,249",,"108,118 ",,N/A,N/A,N/A,177,"19,521,252","43,268,832",Europe
Malaysia,"4,325,818",,"35,292 ",,"4,144,728",,"145,798",174,"57,465,179","33,099,762",Asia
Israel,"3,997,863",,"10,584 ",,"3,941,841",,"45,438",272,"41,373,364","9,326,000 ",Asia
